Step,AgentsRemaining,ConflictCount,VolunteerActions,ObstaclesRemaining,AvgDFF,AvgAFF
158,3,0,0,55,0.0000,0.0667
159,3,0,0,55,0.0000,0.0667
160,3,0,0,55,0.0000,0.0667
161,3,0,0,55,0.0000,0.0667
162,3,0,0,55,0.0000,0.1333
163,3,0,0,55,0.0000,0.1333
164,3,0,0,55,0.0000,0.1333
165,3,0,0,55,0.0000,0.1333
166,2,0,0,55,0.0000,0.2000
167,2,0,0,55,0.0000,0.2000
168,2,0,1,54,0.0000,0.1000
169,2,0,0,54,0.0000,0.1000
170,1,0,0,54,0.0000,0.2000
171,1,0,0,54,0.0000,0.2000
172,1,0,0,54,0.0000,0.2000
173,1,0,0,54,0.0000,0.2000
174,1,0,0,54,0.0000,0.0000
175,1,0,0,54,0.0000,0.0000
176,1,0,0,54,0.0000,0.0000
177,1,0,0,54,0.0000,0.0000
178,1,0,0,54,0.0000,0.0000
179,1,0,0,54,0.0000,0.0000
180,1,0,0,54,0.0000,0.0000
181,1,0,0,54,0.0000,0.0000
182,1,0,0,54,0.0000,0.0000
183,1,0,0,54,0.0000,0.0000
184,1,0,0,54,0.0000,0.0000
185,1,0,0,54,0.0000,0.0000
186,1,0,0,54,0.0000,0.2000
187,1,0,0,54,0.0000,0.2000
188,1,0,1,53,0.0000,0.0000
189,1,0,0,53,0.0000,0.0000
190,1,0,0,53,0.0000,0.0000
191,1,0,0,53,0.0000,0.0000
192,1,0,0,53,0.0000,0.0000
193,1,0,0,53,0.0000,0.0000
194,1,0,0,53,0.0000,0.0000
195,0,0,0,53,0.0000,0.0000
1,148,18,1,79,0.1199,0.0547
2,148,19,2,77,0.0230,0.0510
3,146,20,0,77,0.0048,0.0496
4,146,16,1,76,0.0010,0.0487
5,146,15,1,75,0.0002,0.0436
6,146,12,0,75,0.0001,0.0465
7,144,15,0,75,0.0000,0.0465
8,143,19,1,74,0.0000,0.0455
9,141,19,0,74,0.0000,0.0482
10,138,15,2,72,0.0000,0.0425
11,134,15,0,72,0.0000,0.0465
12,130,18,1,71,0.0000,0.0416
13,128,22,0,71,0.0000,0.0456
14,123,18,0,71,0.0000,0.0432
15,120,25,0,71,0.0000,0.0450
16,119,21,0,71,0.0000,0.0444
17,115,18,0,71,0.0000,0.0487
18,111,19,0,71,0.0000,0.0666
19,109,18,0,71,0.0000,0.0602
20,107,19,1,70,0.0000,0.0505
21,104,16,2,68,0.0000,0.0404
22,101,17,1,67,0.0000,0.0399
23,97,11,1,66,0.0000,0.0432
24,93,16,0,66,0.0000,0.0615
25,87,12,0,66,0.0000,0.0582
26,81,10,0,66,0.0000,0.0573
27,76,11,0,66,0.0000,0.0552
28,76,11,0,66,0.0000,0.0520
29,74,10,0,66,0.0000,0.0522
30,72,8,1,65,0.0000,0.0568
31,63,10,0,65,0.0000,0.0593
32,57,9,1,64,0.0000,0.0488
33,51,6,0,64,0.0000,0.0470
34,47,5,0,64,0.0000,0.0484
35,42,3,0,64,0.0000,0.0484
36,38,4,1,63,0.0000,0.0544
37,34,4,0,63,0.0000,0.0571
38,32,2,0,63,0.0000,0.0553
39,27,1,1,62,0.0000,0.0546
40,23,1,0,62,0.0000,0.0638
41,23,1,1,61,0.0000,0.0435
42,22,1,0,61,0.0000,0.0713
43,20,0,0,61,0.0000,0.0692
44,19,1,0,61,0.0000,0.0757
45,19,0,0,61,0.0000,0.0693
46,18,0,0,61,0.0000,0.0732
47,18,0,0,61,0.0000,0.0769
48,17,0,0,61,0.0000,0.0353
49,17,0,1,60,0.0000,0.0235
50,17,0,0,60,0.0000,0.0235
51,17,0,0,60,0.0000,0.0235
52,17,0,0,60,0.0000,0.0275
53,16,0,0,60,0.0000,0.0316
54,16,0,0,60,0.0000,0.0990
55,16,1,0,60,0.0000,0.0990
56,16,1,0,60,0.0000,0.1000
57,14,1,0,60,0.0000,0.1095
58,14,2,0,60,0.0000,0.1190
59,14,1,0,60,0.0000,0.1238
60,14,2,1,59,0.0000,0.0667
61,14,2,0,59,0.0000,0.0667
62,14,1,0,59,0.0000,0.0667
63,14,0,0,59,0.0000,0.0647
64,14,0,0,59,0.0000,0.0608
65,13,0,0,59,0.0000,0.0667
66,13,0,0,59,0.0000,0.0974
67,13,0,0,59,0.0000,0.1004
68,12,0,0,59,0.0000,0.1056
69,11,0,1,58,0.0000,0.1005
70,10,0,0,58,0.0000,0.1106
71,10,0,0,58,0.0000,0.1000
72,9,0,1,57,0.0000,0.1006
73,9,0,0,57,0.0000,0.1019
74,8,0,0,57,0.0000,0.1211
75,8,0,0,57,0.0000,0.1196
