folder,exit_count,agent_count,obstacle_count,model,avg_steps,std_steps,t90,t95,failed_runs,failure_rate
4-60-20-1,4,60,20,LLM,33.87,3.28,33.87,33.87,0.0,0.0
4-60-20-0,4,60,20,Original,34.0,2.86,34.0,34.0,0.0,0.0
4-90-40-1,4,90,40,LLM,35.93,2.11,35.93,35.93,0.0,0.0
4-90-40-0,4,90,40,Original,36.77,2.11,36.77,36.77,0.0,0.0
4-120-60-1,4,120,60,LLM,38.97,2.07,38.97,38.97,0.0,0.0
4-120-60-0,4,120,60,Original,40.4,3.76,40.4,40.4,0.0,0.0
4-150-80-1,4,150,80,LLM,42.33,2.69,42.33,42.33,0.0,0.0
4-150-80-0,4,150,80,Original,45.33,3.77,45.33,45.33,0.0,0.0
