RunID,AgentID,EvacuationStep,EvacuationTime
run001,-20602,2,0.60
run001,-20826,2,0.60
run001,-20798,6,1.80
run001,-20910,6,1.80
run001,-20140,7,2.10
run001,-20448,7,2.10
run001,-20546,9,2.70
run001,-20672,9,2.70
run001,-20896,10,3.00
run001,-20168,11,3.30
run001,-20042,12,3.60
run001,-20224,12,3.60
run001,-20420,12,3.60
run001,-20840,13,3.90
run001,-19916,14,4.20
run001,-19972,14,4.20
run001,-20196,14,4.20
run001,-20182,15,4.50
run001,-19958,16,4.80
run001,-20238,16,4.80
run001,-20574,16,4.80
run001,-20630,18,5.40
run001,-20756,18,5.40
run001,-20938,18,5.40
run001,-20952,18,5.40
run001,-20532,19,5.70
run001,-21092,19,5.70
run001,-19930,20,6.00
run001,-20126,20,6.00
run001,-20308,20,6.00
run001,-20378,20,6.00
run001,-20518,20,6.00
run001,-20784,20,6.00
run001,-20070,21,6.30
run001,-20266,21,6.30
run001,-20714,21,6.30
run001,-20742,21,6.30
run001,-20980,21,6.30
run001,-21050,21,6.30
run001,-20056,22,6.60
run001,-20084,22,6.60
run001,-20490,22,6.60
run001,-21148,22,6.60
run001,-20336,23,6.90
run001,-20392,23,6.90
run001,-20728,23,6.90
run001,-20812,23,6.90
run001,-20966,23,6.90
run001,-21008,23,6.90
run001,-20924,24,7.20
run001,-20294,25,7.50
run001,-20770,25,7.50
run001,-20854,25,7.50
run001,-20882,25,7.50
run001,-21134,25,7.50
run001,-20616,26,7.80
run001,-20700,26,7.80
run001,-21064,26,7.80
run001,-21078,26,7.80
run001,-20028,27,8.10
run001,-20280,27,8.10
run001,-20350,27,8.10
run001,-20868,28,8.40
run001,-20322,29,8.70
run001,-20406,29,8.70
run001,-20504,30,9.00
run001,-21022,30,9.00
run001,-21106,31,9.30
run001,-20098,32,9.60
run001,-20364,32,9.60
run001,-20560,32,9.60
run001,-20658,32,9.60
run001,-20210,33,9.90
run001,-20462,33,9.90
run001,-20644,33,9.90
run001,-19986,34,10.20
run001,-20476,34,10.20
run001,-20994,35,10.50
run001,-20000,36,10.80
run001,-20112,36,10.80
run001,-19944,39,11.70
run001,-20014,40,12.00
run001,-20434,40,12.00
run001,-20154,41,12.30
run001,-20588,44,13.20
run001,-21162,44,13.20
run001,-20252,51,15.30
run001,-21120,51,15.30
run001,-21036,52,15.60
